name,nodes,links,directed,time (s),max motif size,year,type,source,note
power,4941,6594,TRUE,,7,2010,full census,6,
HEP-tf-1994,1764,4135,TRUE,,3,2013,partial motif,7,
HEP-tf,27770,351389,TRUE,,3,2013,partial motif,7,
HEP-ph,30501,344617,TRUE,,3,2013,partial motif,7,
e coli ,424,519,TRUE,,3,2002,full motif,8,
s cerevisae,685,1052,TRUE,,3,2002,full motif,8,
c elegans,252,509,TRUE,,3,2002,full motif,8,
little rock,92,984,TRUE,,3,2002,full motif,8,
ythan,83,391,TRUE,,3,2002,full motif,8,
st martin,42,205,TRUE,,3,2002,full motif,8,
chesapeake,31,67243,TRUE,,3,2002,full motif,8,
coachella,29,243,TRUE,,3,2002,full motif,8,
skipwith,25,189,TRUE,,3,2002,full motif,8,
b brook,25,104,TRUE,,3,2002,full motif,8,
s15850,10383,14240,TRUE,,4,2002,approximate motif,8,
s38584,20717,34204,TRUE,,4,2002,approximate motif,8,
s38417,23843,33661,TRUE,,4,2002,approximate motif,8,
s9234,5844,8197,TRUE,,4,2002,approximate motif,8,
s13207,8651,11831,TRUE,,4,2002,approximate motif,8,
s208,122,189,TRUE,,4,2002,full motif,8,
s420,252,399,TRUE,,4,2002,full motif,8,
s838,512,819,TRUE,,4,2002,full motif,8,
nd.edu,325729,1.46E+06,TRUE,,4,2002,approximate motif,8,
flickr,1624992,22477014,TRUE,,6,2014,approximate census,9,
pokec,1632805,30622564,TRUE,,6,2014,approximate census,9,
livejournal,5284459,76901758,TRUE,,6,2014,approximate census,9,
youtube,1134890,4942035,TRUE,,6,2014,approximate census,9,
epinions,119130,833390,TRUE,,6,2014,approximate census,9,
slashdot,77350,516575,TRUE,,6,2014,approximate census,9,
gnutella,6299,20776,TRUE,,6,2014,approximate census,9,
social,67,182,TRUE,,6,2012,full census,10,
e coli,672,1276,TRUE,,6,2012,full census,10,
yeast,688,1079,TRUE,,6,2012,full census,10,
complete,50,2540,TRUE,,6,2012,full census,10,
e coli,418,519,TRUE,,5,2015,full motif,11,"Full, but with graph ensemble of 100, 10 and 5 graphs."
csphd,1882,1740,TRUE,,5,2015,full motif,11,"Full, but with graph ensemble of 100, 10 and 5 graphs."
yeast,688,1079,TRUE,,5,2015,full motif,11,"Full, but with graph ensemble of 100, 10 and 5 graphs."
roget,1022,5074,TRUE,,5,2015,full motif,11,"Full, but with graph ensemble of 100, 10 and 5 graphs."
epa,4271,8965,TRUE,,5,2015,full motif,11,"Full, but with graph ensemble of 100, 10 and 5 graphs."
california,6175,16150,TRUE,,5,2015,full motif,11,"Full, but with graph ensemble of 100, 10 and 5 graphs."
facebook,1899,20296,TRUE,,5,2015,full motif,11,"Full, but with graph ensemble of 100, 10 and 5 graphs."
odlis,2900,18241,TRUE,,5,2015,full motif,11,"Full, but with graph ensemble of 100, 10 and 5 graphs."
pairsfsg,5018,63608,TRUE,,5,2015,full motif,11,"Full, but with graph ensemble of 100, 10 and 5 graphs."
airport,1574,28236,TRUE,,5,2015,full motif,11,"Full, but with graph ensemble of 100, 10 and 5 graphs."
foldoc,12905,109092,TRUE,,5,2015,full motif,11,"Full, but with graph ensemble of 100, 10 and 5 graphs."
jazz,198,2742,FALSE,,7,2015,full census,12,
yeast,2361,6646,FALSE,,5,2015,approximate census,12,
astroph,18772,198050,FALSE,,5,2015,approximate census,12,
metabolic,453,2025,TRUE,,5,2015,approximate census,12,
foldoc,13356,120700,TRUE,,5,2015,full census,12,
neural,297,2359,TRUE,,6,2015,full census,12,
star wars,51,157,FALSE,,9,2015,full census,12,
youtube,1134890,2987624,TRUE,,4,2015,approximate census,12,
portland,1588212,31204286,FALSE,,12,2014,approximate census,13,Treelets only
enron,33696,180811,FALSE,,12,2014,approximate census,13,Treelets only
"g(n,p)",33696,181044,FALSE,,12,2014,approximate census,13,Treelets only
slashot,82168,438643,FALSE,,12,2014,approximate census,13,Treelets only
PA road net,1090917,1541898,FALSE,,12,2014,approximate census,13,Treelets only
electrical circuit,252,399,FALSE,,12,2014,approximate census,13,Treelets only
e coli,2546,11520,FALSE,,12,2014,approximate census,13,Treelets only
s cerevisae,5021,22119,FALSE,,12,2014,approximate census,13,Treelets only
h pylori,687,1352,FALSE,,12,2014,approximate census,13,Treelets only
c elegans,2391,3831,FALSE,,12,2014,approximate census,13,Treelets only
dblp0305,109944,228461,FALSE,,6,2012,full census,14,Non-mototonic support measure
dblp0507,135516,290363,FALSE,,6,2012,full census,14,Non-mototonic support measure
10_3,1.00E+03,5.00E+03,FALSE,,6,2012,full census,14,Non-mototonic support measure
10_4,1.00E+04,5.00E+04,FALSE,,6,2012,full census,14,Non-mototonic support measure
10_5,1.00E+05,5.00E+05,FALSE,,6,2012,full census,14,Non-mototonic support measure
10_6,1.00E+06,5.00E+06,FALSE,,5,2012,full census,14,Non-mototonic support measure
coli,423,516,TRUE,,6,2005,full census,15,
yeast,688,1079,TRUE,,6,2005,full census,15,
elegans,306,2345,TRUE,,6,2005,full census,15,
ythan,135,597,TRUE,,6,2005,full census,15,
